29953,32512,31876,31347,32694,32261
29044,32512,30764,30905,32694,31909
30238,32512,30687,30498,32694,31365
29654,32512,31847,30249,32694,32357
30176,32512,32136,30607,32694,32824
30714,32512,30792,31574,32694,31718
31464,32693,30892,31510,32748,30949
32231,32624,31482,32547,32762,31771
31552,32512,32514,31851,32694,32938
31340,32512,32058,32232,32694,32704
31793,32546,31618,32252,32727,32355
32122,32687,31839,32289,32769,31905
32277,32660,31705,32348,32762,31905
32122,32687,32394,32289,32769,32460
33370,25980,32084,33458,26062,32158
32899,32294,31325,33171,32463,31960
33294,32294,31328,33565,32463,31992
32502,32444,31687,33046,32769,31788
32899,32294,32339,33171,32463,33012
33294,32294,32308,33565,32463,32943
33049,32320,31972,33503,32534,32356
33121,32345,31594,33344,32459,31976
32959,32324,31959,33047,32445,32340
33044,32387,31713,33112,32543,32020
33394,32347,32109,33395,32348,32110
33091,32330,32607,33373,32459,32773
33121,32345,32324,33297,32459,32612
33044,32387,32279,33106,32531,32586
34932,30714,32061,35028,30810,32157
24498,32744,28391,30575,33212,34311
30396,32744,28115,35097,33212,30773
28566,32744,27154,31013,33212,30955
28095,32747,31346,30341,33482,33591
30019,32737,30667,31338,33482,31714
29610,32747,31629,30466,33482,32411
29805,32763,32439,30773,33482,32852
30374,32747,31950,31061,33482,32465
31008,32737,31087,31401,33482,31713
31305,32747,31605,31882,33482,31681
31329,32747,30694,32281,33482,31299
31913,32747,31087,32400,33482,31480
31898,32747,31287,32135,33482,31574
31851,32747,31497,31993,33482,31748
30996,32747,31607,31401,33482,31963
30989,32747,31943,31638,33482,32604
31155,32744,32530,31568,33149,32865
31909,32763,32406,32338,33482,33122
31885,32747,31708,32792,33482,32488
31469,32747,31961,32376,33482,32568
33161,32744,27731,36793,33212,32416
32277,32735,31258,33892,33165,33046
32273,32747,30737,33291,33482,32177
32724,32747,31857,33291,33482,32406
31585,32675,32873,31630,32803,32936
31722,32512,32676,32449,32694,33429
23731,32744,32696,28204,33212,37850
27942,32752,33682,28914,33212,34705
27099,32744,33366,28463,33212,34572
28370,32747,33422,28900,33482,33720
27252,32744,34318,28174,33212,35054
28546,32747,32342,29911,33482,33685
29171,32858,33061,30030,33212,33899
29591,32858,33461,30184,33212,34060
29802,32858,33096,30406,33212,33179
30174,32858,33331,30702,33212,33893
30457,32693,32703,30638,32857,32881
30057,32889,33614,30365,32961,33921
30447,32858,33559,30927,33212,34014
30022,32858,33145,30473,33212,33623
28442,32858,34263,29255,33212,34926
29176,32858,33684,29283,33212,34384
29261,32858,33891,30043,33212,34815
29102,32888,34421,29242,32943,34560
29060,32936,34506,29163,33000,34609
29060,33081,34506,29163,33146,34609
29060,33008,34506,29163,33073,34609
29112,32875,34534,29239,32994,34681
29094,32935,34542,29239,32995,34682
29123,32936,34590,29212,33067,34680
29058,32875,34530,29167,32939,34642
29094,33081,34542,29239,33141,34682
29094,33008,34542,29239,33068,34682
29123,33008,34590,29212,33139,34680
29088,33151,34402,29529,33245,34843
29262,32875,34404,29453,32937,34594
29298,32936,34475,29453,33000,34626
29191,32935,34367,29373,33000,34549
29127,32936,34441,29258,33000,34572
29211,32875,34368,29303,32938,34457
29298,33081,34475,29453,33146,34626
29191,33081,34367,29373,33146,34549
29127,33081,34441,29258,33146,34572
29298,33008,34475,29453,33073,34626
29191,33008,34367,29373,33073,34549
29127,33008,34441,29258,33073,34572
29166,32875,34615,29343,32934,34800
29290,32870,34552,29516,32936,34779
29287,32936,34552,29518,33001,34784
29205,32936,34549,29375,33001,34719
29165,32935,34614,29263,33001,34713
29274,32870,34743,29359,32936,34828
29365,32932,34644,29461,33004,34741
29287,33081,34552,29518,33147,34784
29205,33081,34549,29375,33146,34719
29287,33008,34552,29518,33074,34784
29205,33008,34549,29375,33074,34719
29176,33081,34611,29217,33198,34653
29165,33081,34614,29263,33147,34713
29165,33008,34614,29263,33074,34713
29364,33071,34631,29475,33149,34741
29364,32998,34631,29475,33076,34741
29364,33144,34631,29475,33221,34741
30140,32858,34407,30442,33212,34925
30014,32858,33882,30567,33212,34436
30263,32858,34005,30924,33212,34759
29889,32889,33765,30250,33040,34126
29747,32889,33924,30033,32961,34210
30016,32889,33883,30314,32961,34181
29790,32968,33983,30083,33075,34276
30028,32968,33895,30302,33064,34169
29846,32858,33709,30133,33233,34000
29746,32968,33950,29907,33064,34111
29964,32968,33831,30117,33064,33983
30051,32968,33764,30205,33064,33918
29897,32968,33918,30050,33064,34071
29971,32858,33839,30060,33022,33928
29889,32889,34093,30116,32961,34319
29955,32968,34159,30116,33064,34320
30125,32968,33666,30400,33064,33941
30070,32858,33936,30357,33212,34221
30247,32889,33778,30452,32961,33983
29696,32858,34299,30141,33212,34807
31179,32763,33370,32079,33482,33933
31095,32802,32838,31309,33482,33151
30368,32763,32821,31214,33482,33686
31170,32802,32725,32025,33482,33176
31764,32763,33138,31971,33482,33412
30878,32858,33682,30972,33212,34242
31236,32763,33678,31368,33482,34241
30277,32794,34293,30898,33212,35812
28682,32858,34568,29502,33212,35305
29532,32858,34749,30371,33212,35083
30256,32794,36026,31117,33212,36593
29496,32858,35800,30222,33212,36148
30885,32794,34173,31679,33212,35812
33485,31182,33639,36657,34354,36811
